gender,usage,credit,loan,history,accounts,status,status01,loan01
0,1,8.006367567650246,0.0,1,0,3,1,0
0,1,9.210340371976182,7.2710085382809915,0,1,0,0,1
0,1,9.210340371976182,0.0,0,7,0,0,0
0,0,8.006367567650246,0.0,0,1,4,1,0
1,0,8.517193191416236,0.0,5,7,2,1,0
1,0,8.517193191416236,0.0,2,0,1,1,0
1,0,8.006367567650246,0.0,1,1,3,1,0
1,1,8.006367567650246,0.0,0,1,1,1,0
1,1,9.210340371976182,6.447305862541213,0,1,0,0,1
0,1,8.006367567650246,0.0,0,2,0,0,0
0,0,8.006367567650246,0.0,7,6,2,1,0
0,1,7.600902459542082,0.0,7,0,0,0,0
1,0,8.006367567650246,7.789868559054705,1,6,3,1,1
1,1,8.517193191416236,0.0,1,6,3,1,0
0,1,8.006367567650246,0.0,0,1,0,0,0
1,1,8.517193191416236,6.748759547491679,10,0,3,1,1
0,0,8.006367567650246,0.0,3,0,2,1,0
1,0,8.517193191416236,0.0,8,9,2,1,0
0,1,8.517193191416236,0.0,0,2,0,0,0
1,0,8.006367567650246,0.0,0,16,0,0,0
0,0,8.006367567650246,0.0,11,11,4,1,0
1,1,8.006367567650246,0.0,3,1,2,1,0
1,0,7.600902459542082,0.0,2,10,0,0,0
1,0,8.006367567650246,0.0,3,4,4,1,0
1,0,7.600902459542082,0.0,2,2,2,1,0
0,1,8.006367567650246,0.0,1,0,0,0,0
1,1,8.517193191416236,0.0,2,1,2,1,0
1,1,8.006367567650246,0.0,1,0,2,1,0
0,1,8.517193191416236,0.0,0,1,0,0,0
0,1,8.006367567650246,0.0,0,0,0,0,0
0,1,6.907755278982137,0.0,1,3,0,0,0
0,0,8.294049640102028,0.0,0,1,0,0,0
1,1,8.006367567650246,0.0,0,0,0,0,0
1,0,8.517193191416236,0.0,4,2,3,1,0
0,0,8.517193191416236,0.0,1,4,1,1,0
1,1,8.517193191416236,0.0,0,1,2,1,0
1,0,8.699514748210191,0.0,3,5,1,1,0
1,0,8.006367567650246,0.0,2,1,3,1,0
0,1,8.699514748210191,0.0,0,5,0,0,0
1,1,9.210340371976182,6.9411900550683745,0,0,0,0,1
1,1,10.308952660644293,8.449984441722787,0,2,0,0,1
0,0,8.987196820661973,0.0,0,13,0,0,0
1,0,9.210340371976182,7.8804263442924,0,2,3,1,1
0,1,8.517193191416236,0.0,0,4,1,1,0
1,0,8.517193191416236,10.015207802146536,1,19,0,0,1
0,0,7.600902459542082,0.0,11,12,3,1,0
1,0,7.24422751560335,0.0,0,14,2,1,0
1,1,8.987196820661973,7.106606137727302,0,4,3,1,1
1,1,8.006367567650246,0.0,0,0,2,1,0
1,0,8.517193191416236,0.0,0,8,0,0,0
0,0,9.210340371976182,0.0,0,0,2,1,0
1,0,8.517193191416236,0.0,0,7,1,1,0
0,0,7.600902459542082,0.0,4,6,4,1,0
1,0,8.006367567650246,0.0,1,18,2,1,0
1,0,8.006367567650246,0.0,8,2,2,1,0
1,1,8.006367567650246,0.0,0,2,3,1,0
1,0,7.600902459542082,0.0,5,0,2,1,0
0,1,8.006367567650246,6.812345094177479,0,2,2,1,1
1,1,8.006367567650246,0.0,0,3,0,0,0
1,1,8.006367567650246,0.0,0,1,0,0,0
1,1,8.517193191416236,6.591673732008658,0,1,3,1,1
0,0,7.937374696163295,0.0,0,18,4,1,0
1,0,8.922658299524402,0.0,0,9,3,1,0
1,1,8.517193191416236,0.0,0,5,2,1,0
1,0,8.411832675758411,0.0,0,8,2,1,0
0,0,8.006367567650246,0.0,1,0,2,1,0
1,0,9.210340371976182,0.0,0,7,1,1,0
1,0,8.987196820661973,0.0,0,3,0,0,0
1,1,9.210340371976182,9.701432566051784,3,3,1,1,1
1,0,8.517193191416236,0.0,3,1,2,1,0
1,1,7.600902459542082,0.0,0,5,0,0,0
0,1,9.210340371976182,8.364275084991524,0,0,1,1,1
1,0,6.907755278982137,0.0,6,2,4,1,0
0,1,8.699514748210191,7.529943370601588,0,1,0,0,1
0,1,7.600902459542082,0.0,1,2,0,0,0
1,1,7.600902459542082,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,1,1,0,0,0
1,1,7.600902459542082,0.0,0,12,2,1,0
0,1,8.517193191416236,0.0,1,1,4,1,0
0,0,7.600902459542082,0.0,0,7,1,1,0
1,1,8.517193191416236,0.0,0,2,0,0,0
1,1,8.006367567650246,0.0,1,7,0,0,0
1,0,8.987196820661973,0.0,0,3,0,0,0
1,1,9.210340371976182,0.0,0,1,0,0,0
1,0,8.006367567650246,0.0,3,24,3,1,0
0,0,8.517193191416236,0.0,1,4,4,1,0
1,1,8.006367567650246,0.0,7,0,1,1,0
0,1,7.600902459542082,0.0,0,0,0,0,0
0,0,8.006367567650246,0.0,1,2,2,1,0
1,0,7.600902459542082,7.132497551660044,0,11,1,1,1
1,1,8.006367567650246,0.0,0,2,0,0,0
1,1,8.294049640102028,0.0,2,0,2,1,0
0,1,9.210340371976182,7.82043951526218,0,1,0,0,1
0,1,9.210340371976182,6.92461239604856,0,2,0,0,1
1,1,8.006367567650246,0.0,5,5,3,1,0
1,1,9.210340371976182,0.0,0,2,4,1,0
1,1,8.699514748210191,0.0,2,2,1,1,0
0,1,8.006367567650246,0.0,0,3,0,0,0
0,0,8.006367567650246,0.0,1,0,0,0,0
1,1,9.903487552536127,0.0,0,6,0,0,0
1,1,8.699514748210191,8.975756630519417,0,1,0,0,1
0,0,8.006367567650246,0.0,0,4,1,1,0
1,1,9.210340371976182,0.0,0,0,2,1,0
1,1,8.987196820661973,8.384575666801398,0,0,0,0,1
0,1,9.104979856318357,0.0,5,3,1,1,0
1,1,9.210340371976182,0.0,4,1,3,1,0
1,0,8.006367567650246,0.0,4,5,3,1,0
0,1,8.006367567650246,0.0,1,0,0,0,0
1,1,8.006367567650246,0.0,0,4,2,1,0
1,0,6.907755278982137,0.0,1,1,2,1,0
1,1,8.006367567650246,11.477163563226286,0,9,0,0,1
0,0,9.210340371976182,0.0,4,1,0,0,0
0,0,7.600902459542082,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,0,5,2,1,0
0,1,8.006367567650246,0.0,14,5,2,1,0
1,1,8.517193191416236,0.0,0,9,0,0,0
0,1,8.006367567650246,0.0,0,3,1,1,0
1,1,8.006367567650246,0.0,0,5,0,0,0
0,1,8.006367567650246,0.0,0,2,0,0,0
1,1,9.615805480084347,0.0,0,0,2,1,0
0,1,8.517193191416236,0.0,1,2,2,1,0
1,1,7.600902459542082,0.0,5,1,4,1,0
1,1,8.517193191416236,0.0,0,2,0,0,0
0,1,9.210340371976182,9.141526055975822,0,2,0,0,1
0,1,8.006367567650246,0.0,0,3,0,0,0
1,1,8.006367567650246,0.0,5,2,4,1,0
1,1,7.600902459542082,0.0,0,3,0,0,0
1,1,8.517193191416236,0.0,0,1,1,1,0
1,0,6.907755278982137,0.0,1,0,3,1,0
1,0,7.600902459542082,0.0,0,4,1,1,0
1,1,8.006367567650246,0.0,0,16,4,1,0
1,1,9.210340371976182,0.0,4,1,2,1,0
0,0,8.517193191416236,0.0,1,0,0,0,0
1,0,9.903487552536127,0.0,0,1,3,1,0
1,0,8.006367567650246,0.0,3,5,3,1,0
0,0,8.006367567650246,0.0,3,0,0,0,0
0,0,8.160518247477505,0.0,5,3,1,1,0
1,1,9.210340371976182,0.0,4,0,2,1,0
1,0,8.517193191416236,0.0,4,6,3,1,0
0,0,8.85366542803745,7.9854843567338225,1,8,0,0,1
0,1,8.517193191416236,0.0,0,0,0,0,0
1,1,8.517193191416236,0.0,2,1,0,0,0
1,1,8.006367567650246,0.0,1,1,0,0,0
0,1,9.210340371976182,0.0,0,2,0,0,0
1,1,9.210340371976182,0.0,0,1,2,1,0
1,1,8.699514748210191,0.0,0,1,0,0,0
1,0,7.090076835776092,0.0,1,27,4,1,0
1,1,8.006367567650246,0.0,2,2,4,1,0
1,0,8.006367567650246,0.0,1,0,0,0,0
1,1,8.517193191416236,0.0,0,4,0,0,0
1,1,8.006367567650246,0.0,0,2,0,0,0
0,0,8.006367567650246,0.0,3,0,1,1,0
1,1,8.517193191416236,0.0,0,5,0,0,0
1,1,8.294049640102028,0.0,0,0,0,0,0
1,0,8.517193191416236,0.0,0,0,0,0,0
